neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
Esquimalt,British Columbia,Entire home/apt,3,2,1,76.0
Rockland,British Columbia,Entire home/apt,1,6,3,298.0
Saanich,British Columbia,Entire home/apt,1,4,1,99.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,2,175.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,2,1,115.0
Victoria West,British Columbia,Entire home/apt,2,2,1,95.0
North Saanich,British Columbia,Entire home/apt,1,8,3,249.0
James Bay,British Columbia,Entire home/apt,1,6,2,391.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,6,2,192.0
Juan de Fuca,British Columbia,Private room,1,2,1,52.0
Metchosin,British Columbia,Entire home/apt,2,4,1,76.0
Langford,British Columbia,Entire home/apt,2,4,2,125.0
Downtown,British Columbia,Entire home/apt,2,2,1,159.0
James Bay,British Columbia,Private room,1,2,1,175.0
James Bay,British Columbia,Entire home/apt,3,3,1,139.0
James Bay,British Columbia,Entire home/apt,30,4,2,220.0
James Bay,British Columbia,Entire home/apt,30,2,1,90.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,95.0
Fairfield,British Columbia,Entire home/apt,30,2,1,80.0
Downtown,British Columbia,Entire home/apt,1,6,2,109.0
Fairfield,British Columbia,Private room,2,2,1,48.0
Esquimalt,British Columbia,Entire home/apt,5,6,4,325.0
Esquimalt,British Columbia,Entire home/apt,2,3,2,54.0
James Bay,British Columbia,Entire home/apt,3,2,1,99.0
Metchosin,British Columbia,Entire home/apt,3,4,2,135.0
Juan de Fuca,British Columbia,Entire home/apt,2,2,1,130.0
Saanich,British Columbia,Entire home/apt,5,6,3,229.0
Harris Green,British Columbia,Private room,1,2,1,73.0
Downtown,British Columbia,Entire home/apt,3,2,1,115.0
Downtown,British Columbia,Entire home/apt,1,6,2,195.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,2,314.0
Saanich,British Columbia,Entire home/apt,2,4,1,99.0
Salt Spring Island,British Columbia,Private room,1,3,1,135.0
Sooke,British Columbia,Entire home/apt,7,2,1,72.0
Sooke,British Columbia,Entire home/apt,7,1,1,70.0
Downtown,British Columbia,Entire home/apt,2,2,1,98.0
James Bay,British Columbia,Entire home/apt,1,2,1,69.0
Langford,British Columbia,Private room,2,2,1,139.0
Saanich,British Columbia,Entire home/apt,2,2,1,99.0
Saanich,British Columbia,Entire home/apt,3,2,2,85.0
Saanich,British Columbia,Entire home/apt,2,2,1,86.0
Downtown,British Columbia,Entire home/apt,2,4,1,135.0
North Saanich,British Columbia,Entire home/apt,2,3,1,99.0
North Saanich,British Columbia,Private room,1,2,1,78.0
North Saanich,British Columbia,Entire home/apt,3,4,1,125.0
Downtown,British Columbia,Entire home/apt,30,2,1,60.0
Fernwood,British Columbia,Private room,1,2,1,58.0
James Bay,British Columbia,Entire home/apt,2,6,2,431.0
Saanich,British Columbia,Entire home/apt,7,2,1,141.0
Salt Spring Island,British Columbia,Entire home/apt,2,5,2,150.0
James Bay,British Columbia,Private room,2,2,1,57.0
Saanich,British Columbia,Entire home/apt,2,2,1,135.0
Central Saanich,British Columbia,Entire home/apt,2,2,1,125.0
Saanich,British Columbia,Entire home/apt,3,2,1,135.0
James Bay,British Columbia,Private room,2,4,2,145.0
Saanich,British Columbia,Private room,2,2,1,85.0
James Bay,British Columbia,Private room,1,2,1,89.0
Juan de Fuca,British Columbia,Entire home/apt,3,6,4,220.0
Langford,British Columbia,Entire home/apt,4,7,4,401.0
Central Saanich,British Columbia,Entire home/apt,2,4,1,80.0
Downtown,British Columbia,Entire home/apt,2,4,1,149.0
Downtown,British Columbia,Entire home/apt,2,5,2,159.0
Downtown,British Columbia,Entire home/apt,2,3,1,130.0
Downtown,British Columbia,Entire home/apt,2,6,2,159.0
Downtown,British Columbia,Entire home/apt,30,2,1,98.0
Downtown,British Columbia,Entire home/apt,2,5,2,159.0
Downtown,British Columbia,Entire home/apt,2,5,2,159.0
Downtown,British Columbia,Entire home/apt,2,5,2,159.0
Saanich,British Columbia,Entire home/apt,3,2,1,99.0
Saanich,British Columbia,Entire home/apt,2,2,1,85.0
Saanich,British Columbia,Entire home/apt,5,8,4,649.0
Saanich,British Columbia,Private room,1,1,1,135.0
Juan de Fuca,British Columbia,Entire home/apt,1,4,1,199.0
Southern Gulf Islands,British Columbia,Entire home/apt,1,4,2,168.0
Esquimalt,British Columbia,Entire home/apt,2,6,3,150.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,2,1,170.0
Saanich,British Columbia,Entire home/apt,3,4,2,200.0
Saanich,British Columbia,Entire home/apt,1,4,2,145.0
James Bay,British Columbia,Entire home/apt,30,4,2,78.0
Salt Spring Island,British Columbia,Entire home/apt,2,6,2,157.0
James Bay,British Columbia,Entire home/apt,3,4,2,145.0
Esquimalt,British Columbia,Entire home/apt,3,4,2,99.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,3,1,150.0
North Saanich,British Columbia,Private room,1,2,1,68.0
Victoria West,British Columbia,Entire home/apt,30,1,1,99.0
Sooke,British Columbia,Entire home/apt,2,4,1,141.0
Hillside/Quadra,British Columbia,Entire home/apt,2,4,2,210.0
Salt Spring Island,British Columbia,Entire home/apt,3,3,1,150.0
Downtown,British Columbia,Entire home/apt,1,2,1,149.0
Downtown,British Columbia,Entire home/apt,28,3,1,109.0
Esquimalt,British Columbia,Private room,1,1,1,60.0
Hillside/Quadra,British Columbia,Private room,1,2,1,76.0
Saanich,British Columbia,Entire home/apt,4,4,1,103.0
Saanich,British Columbia,Entire home/apt,2,2,1,99.0
Salt Spring Island,British Columbia,Entire home/apt,1,5,3,119.0
North Saanich,British Columbia,Entire home/apt,2,4,2,119.0
Victoria West,British Columbia,Private room,2,2,1,89.0
Saanich,British Columbia,Private room,30,2,1,56.0
Juan de Fuca,British Columbia,Entire home/apt,2,2,1,180.0
Highlands,British Columbia,Entire home/apt,2,4,1,175.0
Downtown,British Columbia,Entire home/apt,2,2,1,145.0
Saanich,British Columbia,Entire home/apt,2,2,1,88.0
Esquimalt,British Columbia,Private room,30,2,1,94.0
Fernwood,British Columbia,Entire home/apt,2,2,1,115.0
Esquimalt,British Columbia,Entire home/apt,3,2,1,76.0
Oaklands,British Columbia,Entire home/apt,29,2,1,70.0
Saanich,British Columbia,Entire home/apt,5,2,1,65.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,6,3,150.0
Downtown,British Columbia,Entire home/apt,1,4,1,211.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,3,1,145.0
Downtown,British Columbia,Entire home/apt,1,4,1,206.0
Sooke,British Columbia,Entire home/apt,2,4,1,115.0
Downtown,British Columbia,Entire home/apt,1,4,1,150.0
Saanich,British Columbia,Entire home/apt,1,4,2,76.0
Salt Spring Island,British Columbia,Private room,1,3,2,195.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,6,2,249.0
Salt Spring Island,British Columbia,Private room,1,4,1,195.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,1,110.0
Downtown,British Columbia,Entire home/apt,1,2,1,90.0
Esquimalt,British Columbia,Entire home/apt,1,4,2,119.0
James Bay,British Columbia,Entire home/apt,30,4,2,85.0
Downtown,British Columbia,Entire home/apt,2,4,1,76.0
Sooke,British Columbia,Entire home/apt,2,3,1,76.0
Downtown,British Columbia,Entire home/apt,2,4,1,119.0
Downtown,British Columbia,Entire home/apt,1,2,1,80.0
Juan de Fuca,British Columbia,Entire home/apt,2,4,1,130.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,5,3,135.0
Salt Spring Island,British Columbia,Entire home/apt,5,4,3,158.0
Downtown,British Columbia,Entire home/apt,1,4,1,119.0
Downtown,British Columbia,Entire home/apt,1,4,1,105.0
North Saanich,British Columbia,Entire home/apt,1,5,2,110.0
James Bay,British Columbia,Entire home/apt,1,8,3,431.0
Saanich,British Columbia,Entire home/apt,1,3,1,80.0
Esquimalt,British Columbia,Entire home/apt,2,4,1,70.0
Sooke,British Columbia,Entire home/apt,2,4,2,125.0
Saanich,British Columbia,Entire home/apt,1,4,1,72.0
Saanich,British Columbia,Private room,1,2,1,40.0
Downtown,British Columbia,Entire home/apt,1,4,1,119.0
Fairfield,British Columbia,Entire home/apt,2,4,2,184.0
Salt Spring Island,British Columbia,Hotel room,2,2,1,160.0
James Bay,British Columbia,Entire home/apt,1,4,2,239.0
Juan de Fuca,British Columbia,Entire home/apt,2,2,2,129.0
Downtown,British Columbia,Entire home/apt,3,2,1,164.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,2,150.0
Langford,British Columbia,Entire home/apt,4,3,1,70.0
Downtown,British Columbia,Entire home/apt,3,4,1,98.0
Southern Gulf Islands,British Columbia,Entire home/apt,7,6,4,249.0
Hillside/Quadra,British Columbia,Private room,2,2,1,60.0
Downtown,British Columbia,Entire home/apt,2,4,1,149.0
Langford,British Columbia,Private room,3,2,1,53.0
Juan de Fuca,British Columbia,Entire home/apt,2,7,3,225.0
Downtown,British Columbia,Entire home/apt,27,4,2,172.0
Oak Bay,British Columbia,Entire home/apt,2,2,1,125.0
Juan de Fuca,British Columbia,Private room,1,4,1,119.0
Downtown,British Columbia,Entire home/apt,3,4,1,150.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,8,4,279.0
Saanich,British Columbia,Private room,3,2,1,200.0
James Bay,British Columbia,Private room,30,1,2,45.0
Oak Bay,British Columbia,Private room,3,1,1,40.0
Saanich,British Columbia,Entire home/apt,30,2,1,88.0
Salt Spring Island,British Columbia,Entire home/apt,3,4,2,145.0
Salt Spring Island,British Columbia,Private room,1,3,1,88.0
Salt Spring Island,British Columbia,Private room,1,2,1,66.0
Saanich,British Columbia,Entire home/apt,2,4,1,99.0
Oak Bay,British Columbia,Private room,1,2,1,200.0
Victoria West,British Columbia,Entire home/apt,2,3,1,110.0
Gonzales,British Columbia,Entire home/apt,1,6,3,131.0
Saanich,British Columbia,Entire home/apt,7,5,2,300.0
Saanich,British Columbia,Entire home/apt,2,4,2,99.0
Juan de Fuca,British Columbia,Private room,1,4,1,130.0
Juan de Fuca,British Columbia,Entire home/apt,1,4,1,150.0
Langford,British Columbia,Entire home/apt,3,6,3,141.0
Salt Spring Island,British Columbia,Private room,1,4,1,88.0
Saanich,British Columbia,Entire home/apt,2,2,1,149.0
View Royal,British Columbia,Hotel room,2,5,2,359.0
Victoria West,British Columbia,Entire home/apt,3,2,1,99.0
Juan de Fuca,British Columbia,Entire home/apt,3,3,1,135.0
Saanich,British Columbia,Entire home/apt,2,4,2,90.0
Salt Spring Island,British Columbia,Entire home/apt,3,4,2,125.0
Saanich,British Columbia,Entire home/apt,1,4,2,150.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,2,1,125.0
Fairfield,British Columbia,Entire home/apt,3,2,1,90.0
Salt Spring Island,British Columbia,Private room,2,2,1,150.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,150.0
Downtown,British Columbia,Entire home/apt,2,4,1,99.0
Oak Bay,British Columbia,Entire home/apt,2,2,1,70.0
Fernwood,British Columbia,Entire home/apt,2,2,1,103.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,95.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,99.0
Fairfield,British Columbia,Private room,1,1,1,70.0
Downtown,British Columbia,Entire home/apt,2,6,2,159.0
Saanich,British Columbia,Private room,2,4,2,149.0
Saanich,British Columbia,Entire home/apt,5,4,2,80.0
Saanich,British Columbia,Entire home/apt,1,2,1,85.0
Langford,British Columbia,Private room,1,3,2,31.0
Juan de Fuca,British Columbia,Private room,1,2,1,141.0
Juan de Fuca,British Columbia,Private room,1,2,1,125.0
Downtown,British Columbia,Entire home/apt,1,2,1,149.0
North Park,British Columbia,Private room,1,2,1,76.0
Harris Green,British Columbia,Entire home/apt,2,2,1,95.0
Sidney,British Columbia,Entire home/apt,3,4,1,200.0
Downtown,British Columbia,Entire home/apt,2,4,1,95.0
Salt Spring Island,British Columbia,Private room,1,2,1,141.0
Saanich,British Columbia,Entire home/apt,1,4,1,85.0
North Park,British Columbia,Entire home/apt,2,3,1,85.0
Juan de Fuca,British Columbia,Private room,2,7,3,340.0
Salt Spring Island,British Columbia,Private room,2,2,1,53.0
Southern Gulf Islands,British Columbia,Private room,2,2,1,50.0
Hillside/Quadra,British Columbia,Entire home/apt,5,2,1,70.0
Saanich,British Columbia,Private room,1,2,1,60.0
Saanich,British Columbia,Private room,1,2,1,42.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,1,70.0
Downtown,British Columbia,Entire home/apt,2,4,2,195.0
Downtown,British Columbia,Entire home/apt,6,2,1,129.0
Fairfield,British Columbia,Entire home/apt,7,2,1,90.0
Saanich,British Columbia,Entire home/apt,3,6,3,243.0
Fernwood,British Columbia,Entire home/apt,30,2,1,92.0
Saanich,British Columbia,Entire home/apt,30,2,1,76.0
Salt Spring Island,British Columbia,Entire home/apt,3,4,1,180.0
Salt Spring Island,British Columbia,Entire home/apt,2,8,3,233.0
Downtown,British Columbia,Entire home/apt,3,4,1,95.0
Saanich,British Columbia,Entire home/apt,2,3,1,70.0
Saanich,British Columbia,Private room,1,2,1,85.0
Downtown,British Columbia,Entire home/apt,3,4,2,325.0
Downtown,British Columbia,Entire home/apt,3,5,2,389.0
Downtown,British Columbia,Entire home/apt,3,4,2,325.0
Fairfield,British Columbia,Entire home/apt,3,2,1,110.0
Downtown,British Columbia,Entire home/apt,3,4,2,358.0
Downtown,British Columbia,Entire home/apt,3,4,2,401.0
Downtown,British Columbia,Entire home/apt,3,4,1,194.0
Juan de Fuca,British Columbia,Entire home/apt,3,4,2,249.0
Downtown,British Columbia,Entire home/apt,3,2,1,175.0
Oak Bay,British Columbia,Entire home/apt,2,2,1,115.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,1,114.0
Downtown,British Columbia,Entire home/apt,3,4,2,302.0
Salt Spring Island,British Columbia,Entire home/apt,2,7,1,98.0
Oak Bay,British Columbia,Private room,1,1,1,28.0
Rockland,British Columbia,Entire home/apt,2,2,1,76.0
Salt Spring Island,British Columbia,Entire home/apt,3,3,1,129.0
Southern Gulf Islands,British Columbia,Entire home/apt,7,6,3,174.0
Esquimalt,British Columbia,Entire home/apt,2,4,2,160.0
Downtown,British Columbia,Entire home/apt,3,2,1,184.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,175.0
Fernwood,British Columbia,Entire home/apt,17,2,1,129.0
Burnside,British Columbia,Entire home/apt,2,6,3,125.0
Saanich,British Columbia,Entire home/apt,2,4,1,109.0
Salt Spring Island,British Columbia,Entire home/apt,1,2,1,99.0
Saanich,British Columbia,Private room,30,2,1,68.0
Oak Bay,British Columbia,Entire home/apt,31,2,1,134.0
Fairfield,British Columbia,Entire home/apt,2,8,4,160.0
Esquimalt,British Columbia,Entire home/apt,7,4,2,195.0
Saanich,British Columbia,Private room,3,2,1,48.0
Saanich,British Columbia,Entire home/apt,3,4,2,130.0
Fairfield,British Columbia,Entire home/apt,30,2,1,68.0
Sidney,British Columbia,Entire home/apt,3,2,1,95.0
James Bay,British Columbia,Entire home/apt,1,6,2,174.0
Downtown,British Columbia,Entire home/apt,1,3,1,90.0
North Saanich,British Columbia,Entire home/apt,3,4,1,99.0
Colwood,British Columbia,Private room,1,2,1,135.0
Fernwood,British Columbia,Private room,1,2,1,45.0
Saanich,British Columbia,Entire home/apt,3,4,2,350.0
Saanich,British Columbia,Entire home/apt,2,6,2,95.0
Colwood,British Columbia,Private room,1,2,1,107.0
Saanich,British Columbia,Entire home/apt,2,4,1,109.0
James Bay,British Columbia,Entire home/apt,30,2,1,98.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,1,188.0
Salt Spring Island,British Columbia,Entire home/apt,2,6,2,210.0
South Jubilee,British Columbia,Entire home/apt,3,4,2,200.0
Saanich,British Columbia,Entire home/apt,3,2,1,80.0
Esquimalt,British Columbia,Private room,2,2,1,54.0
Colwood,British Columbia,Entire home/apt,30,6,3,191.0
Downtown,British Columbia,Entire home/apt,2,2,1,95.0
Saanich,British Columbia,Entire home/apt,4,8,3,375.0
Saanich,British Columbia,Entire home/apt,2,4,1,95.0
Fairfield,British Columbia,Private room,3,2,1,76.0
North Park,British Columbia,Entire home/apt,2,4,2,200.0
North Saanich,British Columbia,Private room,14,2,1,119.0
North Saanich,British Columbia,Private room,1,2,1,80.0
Victoria West,British Columbia,Entire home/apt,30,4,2,300.0
Oak Bay,British Columbia,Entire home/apt,5,6,4,350.0
Langford,British Columbia,Private room,1,3,1,60.0
Fernwood,British Columbia,Entire home/apt,7,2,1,60.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,65.0
Victoria West,British Columbia,Private room,2,2,1,84.0
Burnside,British Columbia,Entire home/apt,2,3,1,95.0
Downtown,British Columbia,Entire home/apt,3,2,1,203.0
Downtown,British Columbia,Entire home/apt,3,4,2,251.0
Langford,British Columbia,Entire home/apt,30,4,2,88.0
Saanich,British Columbia,Entire home/apt,5,6,3,70.0
Downtown,British Columbia,Entire home/apt,2,3,1,164.0
Downtown,British Columbia,Entire home/apt,2,2,1,125.0
James Bay,British Columbia,Entire home/apt,30,4,2,175.0
Saanich,British Columbia,Entire home/apt,2,7,4,145.0
Colwood,British Columbia,Entire home/apt,3,2,1,168.0
Saanich,British Columbia,Entire home/apt,7,4,3,175.0
Esquimalt,British Columbia,Entire home/apt,3,5,3,90.0
Saanich,British Columbia,Entire home/apt,3,6,3,145.0
Saanich,British Columbia,Entire home/apt,1,2,1,64.0
Downtown,British Columbia,Entire home/apt,2,4,2,133.0
Downtown,British Columbia,Entire home/apt,2,2,1,168.0
Saanich,British Columbia,Entire home/apt,3,6,3,155.0
Central Saanich,British Columbia,Entire home/apt,7,2,1,60.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,119.0
Downtown,British Columbia,Entire home/apt,2,3,1,325.0
Downtown,British Columbia,Entire home/apt,1,2,1,99.0
James Bay,British Columbia,Entire home/apt,1,2,1,60.0
Fairfield,British Columbia,Entire home/apt,2,2,1,76.0
Central Saanich,British Columbia,Entire home/apt,1,4,4,99.0
Saanich,British Columbia,Entire home/apt,1,2,1,54.0
Downtown,British Columbia,Entire home/apt,1,2,1,65.0
Salt Spring Island,British Columbia,Entire home/apt,1,2,1,105.0
Fernwood,British Columbia,Entire home/apt,2,2,1,70.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,99.0
Oak Bay,British Columbia,Private room,1,2,1,65.0
Downtown,British Columbia,Entire home/apt,2,4,1,99.0
View Royal,British Columbia,Entire home/apt,3,2,1,98.0
Downtown,British Columbia,Entire home/apt,1,6,2,130.0
Downtown,British Columbia,Entire home/apt,3,2,1,76.0
North Park,British Columbia,Entire home/apt,1,2,1,141.0
Fairfield,British Columbia,Entire home/apt,1,6,2,110.0
North Park,British Columbia,Private room,1,2,1,58.0
James Bay,British Columbia,Entire home/apt,1,2,1,69.0
James Bay,British Columbia,Entire home/apt,1,6,2,199.0
Saanich,British Columbia,Private room,1,1,1,130.0
Juan de Fuca,British Columbia,Entire home/apt,4,8,3,450.0
Saanich,British Columbia,Entire home/apt,1,2,1,68.0
Fairfield,British Columbia,Entire home/apt,1,4,1,130.0
Esquimalt,British Columbia,Entire home/apt,1,2,1,66.0
Saanich,British Columbia,Entire home/apt,2,4,2,184.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,6,3,424.0
Metchosin,British Columbia,Entire home/apt,3,6,3,249.0
Central Saanich,British Columbia,Entire home/apt,4,2,1,90.0
Victoria West,British Columbia,Private room,1,2,1,50.0
Juan de Fuca,British Columbia,Entire home/apt,1,2,1,89.0
Saanich,British Columbia,Entire home/apt,2,4,2,141.0
Juan de Fuca,British Columbia,Entire home/apt,2,4,1,175.0
Salt Spring Island,British Columbia,Entire home/apt,7,6,3,435.0
North Jubilee,British Columbia,Private room,2,3,1,85.0
Saanich,British Columbia,Private room,1,2,1,60.0
Downtown,British Columbia,Entire home/apt,3,3,2,195.0
Salt Spring Island,British Columbia,Entire home/apt,3,2,1,89.0
Oak Bay,British Columbia,Entire home/apt,2,2,1,49.0
Saanich,British Columbia,Entire home/apt,1,2,1,80.0
Central Saanich,British Columbia,Entire home/apt,2,4,2,60.0
Saanich,British Columbia,Private room,2,1,1,85.0
Saanich,British Columbia,Entire home/apt,4,2,1,85.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,6,1,170.0
Downtown,British Columbia,Entire home/apt,1,4,1,80.0
Saanich,British Columbia,Private room,2,2,1,46.0
Fairfield,British Columbia,Entire home/apt,28,4,1,130.0
Colwood,British Columbia,Entire home/apt,1,2,1,95.0
Saanich,British Columbia,Entire home/apt,3,2,1,150.0
North Saanich,British Columbia,Entire home/apt,3,6,2,89.0
Saanich,British Columbia,Entire home/apt,2,3,1,76.0
Salt Spring Island,British Columbia,Entire home/apt,2,3,1,129.0
Langford,British Columbia,Entire home/apt,3,2,1,95.0
Fernwood,British Columbia,Entire home/apt,2,2,1,90.0
Rockland,British Columbia,Entire home/apt,3,2,1,99.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,3,1,130.0
Sooke,British Columbia,Entire home/apt,1,4,1,109.0
Sidney,British Columbia,Entire home/apt,2,2,1,149.0
Colwood,British Columbia,Private room,2,1,1,89.0
Fairfield,British Columbia,Entire home/apt,3,2,1,60.0
Saanich,British Columbia,Entire home/apt,7,2,1,139.0
Oak Bay,British Columbia,Entire home/apt,1,4,2,119.0
Highlands,British Columbia,Entire home/apt,2,2,1,99.0
Juan de Fuca,British Columbia,Private room,2,2,1,229.0
Central Saanich,British Columbia,Entire home/apt,2,2,1,80.0
Harris Green,British Columbia,Entire home/apt,2,2,1,86.0
Saanich,British Columbia,Entire home/apt,2,6,3,219.0
Fernwood,British Columbia,Entire home/apt,30,2,1,85.0
James Bay,British Columbia,Entire home/apt,1,6,2,211.0
James Bay,British Columbia,Entire home/apt,1,6,2,211.0
James Bay,British Columbia,Entire home/apt,1,8,3,344.0
Fernwood,British Columbia,Entire home/apt,1,6,2,135.0
James Bay,British Columbia,Entire home/apt,1,2,1,105.0
Salt Spring Island,British Columbia,Entire home/apt,2,5,2,220.0
Saanich,British Columbia,Entire home/apt,7,3,1,89.0
Harris Green,British Columbia,Entire home/apt,30,3,2,90.0
Saanich,British Columbia,Entire home/apt,4,3,1,80.0
Sidney,British Columbia,Private room,1,2,1,68.0
James Bay,British Columbia,Entire home/apt,1,4,2,115.0
Saanich,British Columbia,Entire home/apt,1,6,2,99.0
Saanich,British Columbia,Entire home/apt,1,4,1,72.0
James Bay,British Columbia,Entire home/apt,1,6,2,184.0
Salt Spring Island,British Columbia,Hotel room,2,2,1,149.0
Juan de Fuca,British Columbia,Entire home/apt,2,8,3,325.0
James Bay,British Columbia,Entire home/apt,7,4,2,99.0
Langford,British Columbia,Entire home/apt,1,2,2,49.0
Salt Spring Island,British Columbia,Entire home/apt,3,4,3,298.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,8,3,489.0
Saanich,British Columbia,Private room,1,1,1,50.0
Oak Bay,British Columbia,Entire home/apt,1,2,1,76.0
Southern Gulf Islands,British Columbia,Private room,3,4,1,85.0
Fernwood,British Columbia,Entire home/apt,30,6,2,125.0
Salt Spring Island,British Columbia,Hotel room,2,2,1,160.0
North Jubilee,British Columbia,Entire home/apt,4,4,2,105.0
Esquimalt,British Columbia,Entire home/apt,2,2,1,60.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,6,2,115.0
Juan de Fuca,British Columbia,Entire home/apt,1,4,1,110.0
Downtown,British Columbia,Entire home/apt,7,4,2,196.0
Fernwood,British Columbia,Entire home/apt,2,6,3,119.0
Saanich,British Columbia,Entire home/apt,2,5,2,150.0
Langford,British Columbia,Entire home/apt,1,5,3,68.0
Salt Spring Island,British Columbia,Entire home/apt,3,6,4,249.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,6,3,275.0
Saanich,British Columbia,Entire home/apt,10,5,3,199.0
Saanich,British Columbia,Entire home/apt,2,4,1,125.0
North Jubilee,British Columbia,Entire home/apt,2,4,2,64.0
Saanich,British Columbia,Entire home/apt,2,4,2,359.0
Langford,British Columbia,Entire home/apt,2,2,1,103.0
Esquimalt,British Columbia,Entire home/apt,2,7,3,180.0
Langford,British Columbia,Private room,1,2,1,54.0
Fernwood,British Columbia,Entire home/apt,3,6,4,225.0
Harris Green,British Columbia,Entire home/apt,2,3,1,150.0
Saanich,British Columbia,Private room,1,1,1,45.0
Victoria West,British Columbia,Entire home/apt,2,2,1,141.0
Downtown,British Columbia,Entire home/apt,1,4,1,99.0
Salt Spring Island,British Columbia,Entire home/apt,1,3,1,149.0
Saanich,British Columbia,Entire home/apt,3,4,2,115.0
Juan de Fuca,British Columbia,Entire home/apt,2,6,3,345.0
Langford,British Columbia,Entire home/apt,3,5,2,125.0
Burnside,British Columbia,Entire home/apt,1,4,1,80.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,249.0
Saanich,British Columbia,Private room,1,4,2,139.0
Downtown,British Columbia,Entire home/apt,3,5,2,330.0
Colwood,British Columbia,Entire home/apt,2,6,3,125.0
Central Saanich,British Columbia,Entire home/apt,2,6,3,195.0
Sooke,British Columbia,Entire home/apt,2,4,1,119.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,1,150.0
Victoria West,British Columbia,Private room,1,2,1,78.0
Downtown,British Columbia,Entire home/apt,1,2,1,190.0
Fairfield,British Columbia,Entire home/apt,2,4,2,188.0
James Bay,British Columbia,Entire home/apt,14,4,2,50.0
James Bay,British Columbia,Entire home/apt,30,4,2,76.0
Salt Spring Island,British Columbia,Entire home/apt,3,2,1,88.0
Salt Spring Island,British Columbia,Entire home/apt,2,3,1,115.0
Fairfield,British Columbia,Entire home/apt,30,4,1,115.0
North Saanich,British Columbia,Entire home/apt,1,2,2,80.0
James Bay,British Columbia,Entire home/apt,2,2,1,78.0
Hillside/Quadra,British Columbia,Entire home/apt,4,6,3,195.0
Oak Bay,British Columbia,Private room,2,1,1,65.0
Hillside/Quadra,British Columbia,Private room,2,1,1,58.0
Juan de Fuca,British Columbia,Entire home/apt,2,4,2,150.0
Salt Spring Island,British Columbia,Private room,3,2,1,110.0
Salt Spring Island,British Columbia,Entire home/apt,2,6,2,90.0
Oak Bay,British Columbia,Entire home/apt,2,3,2,107.0
North Saanich,British Columbia,Entire home/apt,1,6,1,150.0
Downtown,British Columbia,Entire home/apt,2,2,1,88.0
Downtown,British Columbia,Entire home/apt,2,3,1,149.0
Saanich,British Columbia,Entire home/apt,2,2,1,110.0
Saanich,British Columbia,Entire home/apt,2,2,1,76.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,2,180.0
Colwood,British Columbia,Private room,2,2,1,60.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,2,1,119.0
Langford,British Columbia,Entire home/apt,29,4,2,85.0
Saanich,British Columbia,Entire home/apt,1,4,1,85.0
Esquimalt,British Columbia,Entire home/apt,3,2,1,119.0
Central Saanich,British Columbia,Entire home/apt,2,4,2,54.0
Salt Spring Island,British Columbia,Entire home/apt,3,7,3,279.0
Fernwood,British Columbia,Entire home/apt,7,4,2,90.0
Hillside/Quadra,British Columbia,Entire home/apt,4,2,1,52.0
James Bay,British Columbia,Entire home/apt,2,4,2,133.0
Downtown,British Columbia,Entire home/apt,3,2,1,160.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,200.0
Langford,British Columbia,Entire home/apt,2,4,2,119.0
James Bay,British Columbia,Entire home/apt,3,2,1,90.0
Esquimalt,British Columbia,Entire home/apt,2,3,1,53.0
Downtown,British Columbia,Entire home/apt,2,4,1,99.0
Juan de Fuca,British Columbia,Entire home/apt,1,6,3,275.0
